rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad
0,29.826,65.107,22.777,0.5,1.5,156,PL006,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL007,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL008,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL009,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,6,0
