rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad,target
0,29.826,65.107,22.777,0.5,1.5,156,8,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,10,0,0
0,23.66,91.8555,21.907,0,0,149,1,1,0,0
0,23.66,91.8555,21.9185,0,0,149,1,2,0,0
0,23.66,91.8555,21.921,0,0,149,1,3,0,0
0,23.66,91.8555,21.9305,0,0,149,1,4,0,0
0,23.66,91.8555,21.939,0,0,149,1,5,0,0
0,23.66,91.8555,21.9405,0,0,149,1,6,0,0
0,23.66,91.8555,21.946,0,0,149,1,7,0,0
0,23.66,91.8555,21.9525,0,0,149,1,8,0,0
0,23.66,91.8555,21.9565,0,0,149,1,9,0,0
0,23.66,91.8555,21.959,0,0,149,1,10,0,0
0,23.66,91.8555,21.966,0,0,149,2,1,0,0
0,23.66,91.8555,21.977,0,0,149,2,2,45,1
0,23.66,91.8555,21.977,0,0,149,2,3,0,0
0,23.66,91.8555,21.9795,0,0,149,2,4,0,0
0,23.66,91.8555,21.9795,0,0,149,2,5,40,1
0,23.66,91.8555,21.984,0,0,149,2,6,75,1
0,23.66,91.8555,21.987,0,0,149,2,7,0,0
0,23.66,91.8555,21.987,0,0,149,2,8,0,0
0,23.66,91.8555,21.987,0,0,149,2,9,0,0
0,23.66,91.8555,21.987,0,0,149,2,10,0,0
0,23.66,91.8555,21.987,0,0,149,3,1,0,0
0,23.66,91.8555,21.989,0,0,149,3,2,0,0
0,23.66,91.8555,21.9915,0,0,149,3,3,0,0
0,23.66,91.8555,21.9985,0,0,149,3,4,0,0
0,23.66,91.8555,21.9985,0,0,149,3,5,0,0
0,23.66,91.8555,21.9985,0,0,149,3,6,0,0
0,23.66,91.8555,21.9985,0,0,149,3,7,0,0
0,23.66,91.8555,21.9985,0,0,149,3,8,0,0
0,23.66,91.8555,21.9985,0,0,149,3,9,70,1
0,23.66,91.8555,21.9985,0,0,149,3,10,0,0
0,23.66,91.8555,21.9985,0,0,149,4,1,0,0
0,23.66,91.8555,21.9985,0,0,149,4,2,0,0
0,23.66,91.8555,21.9985,0,0,149,4,3,0,0
0,23.66,91.8555,21.9985,0,0,149,4,4,0,0
0,23.66,91.8555,21.9985,0,0,149,4,5,70,1
0,23.66,91.8555,21.9985,0,0,149,4,6,0,0
0,23.66,91.8555,21.9985,0,0,149,4,7,0,0
0,23.66,91.8555,21.9985,0,0,149,4,8,0,0
0,23.66,91.8555,21.9985,0,0,149,4,9,0,0
0,23.66,91.8555,21.9985,0,0,149,4,10,0,0
0,23.66,91.8555,21.9985,0,0,149,5,1,0,0
0,23.66,91.8555,21.9985,0,0,149,5,2,0,0
0,23.66,91.8555,21.9985,0,0,149,5,3,40,1
0,23.66,91.8555,21.9985,0,0,149,5,4,0,0
0,23.66,91.8555,21.9985,0,0,149,5,5,0,0
0,23.66,91.8555,21.9985,0,0,149,5,6,0,0
0,23.66,91.8555,21.9985,0,0,149,5,7,60,1
0,23.66,91.8555,21.9985,0,0,149,5,8,0,0
0,23.66,91.8555,21.9985,0,0,149,5,9,70,1
0,23.66,91.8555,21.9985,0,0,149,5,10,0,0
0,23.66,91.8555,21.9985,0,0,149,6,1,0,0
0,23.66,91.8555,21.9985,0,0,149,6,2,0,0
0,23.66,91.8555,21.9985,0,0,149,6,3,0,0
0,23.66,91.8555,21.9985,0,0,149,6,4,0,0
0,23.66,91.8555,21.9985,0,0,149,6,5,0,0
0,23.66,91.8555,21.9985,0,0,149,6,6,0,0
0,23.66,91.8555,21.9985,0,0,149,6,7,0,0
0,23.66,91.8555,21.9985,0,0,149,6,8,0,0
0,23.66,91.8555,21.9985,0,0,149,6,9,40,1
0,23.66,91.8555,21.9985,0,0,149,6,10,30,1
0,23.66,91.8555,21.9985,0,0,149,7,1,0,0
0,23.66,91.8555,21.9985,0,0,149,7,2,0,0
0,23.66,91.8555,21.9985,0,0,149,7,3,0,0
0,23.66,91.8555,21.9985,0,0,149,7,4,0,0
0,23.66,91.8555,21.9985,0,0,149,7,5,0,0
0,23.66,91.8555,21.9985,0,0,149,7,6,0,0
0,23.66,91.8555,21.9985,0,0,149,7,7,0,0
0,23.66,91.8555,21.9985,0,0,149,7,8,0,0
0,23.66,91.8555,21.9985,0,0,149,7,9,0,0
0,23.66,91.8555,21.9985,0,0,149,7,10,0,0
0,23.66,91.8555,21.9985,0,0,149,8,1,0,0
0,23.66,91.8555,21.9985,0,0,149,8,2,0,0
0,23.66,91.8555,21.9985,0,0,149,8,3,50,1
0,23.66,91.8555,21.9985,0,0,149,8,4,0,0
0,23.66,91.8555,21.9985,0,0,149,8,5,0,0
0,23.66,91.8555,21.9985,0,0,149,8,6,0,0
0,23.66,91.8555,21.9985,0,0,149,8,7,0,0
0,23.66,91.8555,21.9985,0,0,149,8,8,0,0
0,23.66,91.8555,21.9985,0,0,149,8,9,0,0
0,23.66,91.8555,21.9985,0,0,149,8,10,0,0
0,23.66,91.8555,21.9985,0,0,149,9,1,0,0
0,23.66,91.8555,21.9985,0,0,149,9,2,0,0
0,23.66,91.8555,21.9985,0,0,149,9,3,0,0
0,23.66,91.8555,21.9985,0,0,149,9,4,0,0
0,23.66,91.8555,21.9985,0,0,149,9,5,0,0
0,23.66,91.8555,21.9985,0,0,149,9,6,0,0
0,23.66,91.8555,21.9985,0,0,149,9,7,0,0
0,23.66,91.8555,21.9985,0,0,149,9,8,0,0
0,23.66,91.8555,21.9985,0,0,149,9,9,40,1
0,23.66,91.8555,21.9985,0,0,149,9,10,0,0
0,23.66,91.8555,21.9985,0,0,149,10,1,0,0
0,23.66,91.8555,21.9985,0,0,149,10,2,0,0
0,23.66,91.8555,21.9985,0,0,149,10,3,0,0
0,23.66,91.8555,21.9985,0,0,149,10,4,0,0
0,23.66,91.8555,21.9985,0,0,149,10,5,0,0
0,23.66,91.8555,21.9985,0,0,149,10,6,0,0
